data ,percentual,estados
31/07/20,"38,8",Rondônia 
01/08/20,"41,4",Rondônia 
02/08/20,"48,7",Rondônia 
03/08/20,"38,8",Rondônia 
04/08/20,39,Rondônia 
05/08/20,37,Rondônia 
06/08/20,"38,6",Rondônia 
07/08/20,"36,8",Rondônia 
08/08/20,"40,2",Rondônia 
09/08/20,"44,8",Rondônia 
10/08/20,"38,3",Rondônia 
11/08/20,"38,8",Rondônia 
12/08/20,"38,5",Rondônia 
13/08/20,"39,9",Rondônia 
14/08/20,"37,6",Rondônia 
15/08/20,"41,1",Rondônia 
16/08/20,"48,9",Rondônia 
17/08/20,"40,2",Rondônia 
18/08/20,39,Rondônia 
19/08/20,"38,7",Rondônia 
20/08/20,39,Rondônia 
21/08/20,"38,7",Rondônia 
22/08/20,42,Rondônia 
23/08/20,"49,9",Rondônia 
24/08/20,"38,9",Rondônia 
25/08/20,"38,7",Rondônia 
26/08/20,"38,6",Rondônia 
27/08/20,38,Rondônia 
28/08/20,"36,9",Rondônia 
29/08/20,"39,8",Rondônia 
30/08/20,"46,7",Rondônia 
31/08/20,"38,8",Rondônia 
01/09/20,"37,5",Rondônia 
02/09/20,"36,9",Rondônia 
03/09/20,"36,7",Rondônia 
04/09/20,"35,9",Rondônia 
05/09/20,"38,6",Rondônia 
06/09/20,"46,5",Rondônia 
07/09/20,"47,7",Rondônia 
08/09/20,"35,8",Rondônia 
09/09/20,"36,5",Rondônia 
10/09/20,"37,7",Rondônia 
11/09/20,"36,6",Rondônia 
12/09/20,"39,7",Rondônia 
13/09/20,47,Rondônia 
14/09/20,"36,6",Rondônia 
15/09/20,"37,1",Rondônia 
16/09/20,"37,4",Rondônia 
17/09/20,"37,6",Rondônia 
18/09/20,"36,4",Rondônia 
19/09/20,"39,1",Rondônia 
20/09/20,"46,5",Rondônia 
21/09/20,"36,6",Rondônia 
22/09/20,37,Rondônia 
23/09/20,"36,4",Rondônia 
24/09/20,"36,1",Rondônia 
25/09/20,"35,2",Rondônia 
26/09/20,"38,2",Rondônia 
27/09/20,"45,1",Rondônia 
28/09/20,"36,5",Rondônia 
29/09/20,"35,8",Rondônia 
30/09/20,"33,6",Rondônia 
01/10/20,"35,7",Rondônia 
02/10/20,"35,5",Rondônia 
03/10/20,38,Rondônia 
04/10/20,45,Rondônia 
05/10/20,"36,5",Rondônia 
06/10/20,"34,5",Rondônia 
07/10/20,"35,3",Rondônia 
08/10/20,"35,3",Rondônia 
09/10/20,"34,4",Rondônia 
10/10/20,"37,6",Rondônia 
11/10/20,"45,1",Rondônia 
12/10/20,"44,1",Rondônia 
13/10/20,"36,4",Rondônia 
14/10/20,"35,7",Rondônia 
15/10/20,"36,4",Rondônia 
16/10/20,"34,9",Rondônia 
17/10/20,"38,1",Rondônia 
18/10/20,"45,8",Rondônia 
19/10/20,"37,4",Rondônia 
20/10/20,"36,7",Rondônia 
21/10/20,"36,3",Rondônia 
22/10/20,"35,8",Rondônia 
23/10/20,"34,8",Rondônia 
24/10/20,"38,2",Rondônia 
25/10/20,"45,1",Rondônia 
26/10/20,"35,6",Rondônia 
27/10/20,"35,7",Rondônia 
28/10/20,"35,1",Rondônia 
29/10/20,"34,2",Rondônia 
30/10/20,"36,4",Rondônia 
31/10/20,"38,7",Rondônia 
01/11/20,"44,8",Rondônia 
02/11/20,"46,8",Rondônia 
03/11/20,"34,6",Rondônia 
04/11/20,"34,6",Rondônia 
05/11/20,"35,1",Rondônia 
06/11/20,"35,6",Rondônia 
07/11/20,"40,1",Rondônia 
08/11/20,"49,9",Rondônia 
